template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time,csv_query_status
Diagnose,1,1000,1000,100,100,4095,Diagnose_no_orderby.json,595,ok
Diagnose_1,2,1000,2000,100,200,3294,Diagnose_no_orderby.json,576,ok
Diagnose_2,3,1000,3000,100,300,3368,Diagnose_no_orderby.json,604,ok
Diagnose_3,4,1000,4000,100,400,3308,Diagnose_no_orderby.json,939,ok
Diagnose_4,5,1000,5000,100,500,3259,Diagnose_no_orderby.json,1505,ok
Diagnose_5,6,1000,6000,100,600,3222,Diagnose_no_orderby.json,1601,ok
Diagnose_6,7,1000,7000,100,700,3466,Diagnose_no_orderby.json,2500,ok
Diagnose_7,8,1000,8000,100,800,3554,Diagnose_no_orderby.json,2095,ok
Diagnose_8,9,1000,9000,100,900,3779,Diagnose_no_orderby.json,2817,ok
Diagnose_9,10,1000,10000,100,1000,3625,Diagnose_no_orderby.json,2835,ok
Diagnose_10,11,1000,11000,100,1100,3629,Diagnose_no_orderby.json,3695,ok
Diagnose_11,12,1000,12000,100,1200,3532,Diagnose_no_orderby.json,3459,ok
Diagnose_12,13,1000,13000,100,1300,3722,Diagnose_no_orderby.json,3618,ok
Diagnose_13,14,1000,14000,100,1400,3529,Diagnose_no_orderby.json,3427,ok
Diagnose_14,15,1000,15000,100,1500,3766,Diagnose_no_orderby.json,3737,ok
Diagnose_15,16,1000,16000,100,1600,3603,Diagnose_no_orderby.json,4202,ok
Diagnose_16,17,1000,17000,100,1700,3503,Diagnose_no_orderby.json,4467,ok
Diagnose_17,18,1000,18000,100,1800,3601,Diagnose_no_orderby.json,4202,ok
Diagnose_18,19,1000,19000,100,1900,3679,Diagnose_no_orderby.json,5074,ok
Diagnose_19,20,1000,20000,100,2000,3570,Diagnose_no_orderby.json,5309,ok
Diagnose_20,21,1000,21000,100,2100,3874,Diagnose_no_orderby.json,5658,ok
Diagnose_21,22,1000,22000,100,2200,3974,Diagnose_no_orderby.json,5647,ok
Diagnose_22,23,1000,23000,100,2300,4384,Diagnose_no_orderby.json,5747,ok
Diagnose_23,24,1000,24000,100,2400,3919,Diagnose_no_orderby.json,5363,ok
Diagnose_24,25,1000,25000,100,2500,3487,Diagnose_no_orderby.json,4533,ok
Diagnose_25,26,1000,26000,100,2600,3496,Diagnose_no_orderby.json,5005,ok
Diagnose_26,27,1000,27000,100,2700,3653,Diagnose_no_orderby.json,5043,ok
Diagnose_27,28,1000,28000,100,2800,3669,Diagnose_no_orderby.json,5154,ok
Diagnose_28,29,1000,29000,100,2900,3508,Diagnose_no_orderby.json,5280,ok
Diagnose_29,30,1000,30000,100,3000,3530,Diagnose_no_orderby.json,5949,ok
Diagnose_30,31,1000,31000,100,3100,3582,Diagnose_no_orderby.json,5671,ok
Diagnose_31,32,1000,32000,100,3200,3670,Diagnose_no_orderby.json,5844,ok
Diagnose_32,33,1000,33000,100,3300,3604,Diagnose_no_orderby.json,5988,ok
Diagnose_33,34,1000,34000,100,3400,3620,Diagnose_no_orderby.json,5979,ok
Diagnose_34,35,1000,35000,100,3500,4041,Diagnose_no_orderby.json,6214,ok
Diagnose_35,36,1000,36000,100,3600,4055,Diagnose_no_orderby.json,6477,ok
Diagnose_36,37,1000,37000,100,3700,3725,Diagnose_no_orderby.json,6542,ok
Diagnose_37,38,1000,38000,100,3800,3651,Diagnose_no_orderby.json,6925,ok
Diagnose_38,39,1000,39000,100,3900,3801,Diagnose_no_orderby.json,6829,ok
Diagnose_39,40,1000,40000,100,4000,3746,Diagnose_no_orderby.json,7106,ok
Diagnose_40,41,1000,41000,100,4100,3840,Diagnose_no_orderby.json,7180,ok
Diagnose_41,42,1000,42000,100,4200,3925,Diagnose_no_orderby.json,7376,ok
Diagnose_42,43,1000,43000,100,4300,3762,Diagnose_no_orderby.json,7554,ok
Diagnose_43,44,1000,44000,100,4400,3814,Diagnose_no_orderby.json,8355,ok
Diagnose_44,45,1000,45000,100,4500,4301,Diagnose_no_orderby.json,8831,ok
Diagnose_45,46,1000,46000,100,4600,4035,Diagnose_no_orderby.json,8873,ok
Diagnose_46,47,1000,47000,100,4700,3850,Diagnose_no_orderby.json,8446,ok
Diagnose_47,48,1000,48000,100,4800,3980,Diagnose_no_orderby.json,8357,ok
Diagnose_48,49,1000,49000,100,4900,4064,Diagnose_no_orderby.json,8251,ok
Diagnose_49,50,1000,50000,100,5000,4160,Diagnose_no_orderby.json,8952,ok
Diagnose_50,51,1000,51000,100,5100,4141,Diagnose_no_orderby.json,8886,ok
Diagnose_51,52,1000,52000,100,5200,4049,Diagnose_no_orderby.json,9128,ok
Diagnose_52,53,1000,53000,100,5300,4123,Diagnose_no_orderby.json,9349,ok
Diagnose_53,54,1000,54000,100,5400,4076,Diagnose_no_orderby.json,9813,ok
Diagnose_54,55,1000,55000,100,5500,4855,Diagnose_no_orderby.json,12288,ok
Diagnose_55,56,1000,56000,100,5600,4386,Diagnose_no_orderby.json,9464,ok
Diagnose_56,57,1000,57000,100,5700,4291,Diagnose_no_orderby.json,10131,ok
Diagnose_57,58,1000,58000,100,5800,4461,Diagnose_no_orderby.json,10155,ok
Diagnose_58,59,1000,59000,100,5900,4250,Diagnose_no_orderby.json,10493,ok
Diagnose_59,60,1000,60000,100,6000,4231,Diagnose_no_orderby.json,10450,ok
Diagnose_60,61,1000,61000,100,6100,4405,Diagnose_no_orderby.json,10623,ok
Diagnose_61,62,1000,62000,100,6200,4203,Diagnose_no_orderby.json,10530,ok
Diagnose_62,63,1000,63000,100,6300,4357,Diagnose_no_orderby.json,10910,ok
Diagnose_63,64,1000,64000,100,6400,4301,Diagnose_no_orderby.json,11288,ok
Diagnose_64,65,1000,65000,100,6500,4389,Diagnose_no_orderby.json,11343,ok
